case,n,m,family,seed,configuration,macs,weight_density,kernel_words,kernel_sha256,input_words,cycles,cold,fetch,memory,wait,setup,scalar,retired,outputs
n1_m1_zero_s1729_software,1,1,zero,1729,software,1,0.0,86,5b167f0f9aa1545e7d7d2ba7ff293e2ddcc3297639ca19b61d9ab14afc840b5d,2,21,49,7,8,0,0,6,7,1
n1_m1_zero_s1729_iterative_staged,1,1,zero,1729,iterative_staged,1,0.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,32,60,6,6,13,3,4,6,1
n1_m1_zero_s1729_iterative_fused,1,1,zero,1729,iterative_fused,1,0.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,30,58,6,6,11,3,4,6,1
n1_m1_zero_s1729_parallel_fused,1,1,zero,1729,parallel_fused,1,0.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,22,50,6,6,3,3,4,6,1
n1_m1_sparse_s1729_software,1,1,sparse,1729,software,1,0.0,86,5b167f0f9aa1545e7d7d2ba7ff293e2ddcc3297639ca19b61d9ab14afc840b5d,2,21,49,7,8,0,0,6,7,1
n1_m1_sparse_s1729_iterative_staged,1,1,sparse,1729,iterative_staged,1,0.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,32,60,6,6,13,3,4,6,1
n1_m1_sparse_s1729_iterative_fused,1,1,sparse,1729,iterative_fused,1,0.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,30,58,6,6,11,3,4,6,1
n1_m1_sparse_s1729_parallel_fused,1,1,sparse,1729,parallel_fused,1,0.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,22,50,6,6,3,3,4,6,1
n1_m1_sparse_s1730_software,1,1,sparse,1730,software,1,0.0,86,5b167f0f9aa1545e7d7d2ba7ff293e2ddcc3297639ca19b61d9ab14afc840b5d,2,21,49,7,8,0,0,6,7,1
n1_m1_sparse_s1730_iterative_staged,1,1,sparse,1730,iterative_staged,1,0.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,32,60,6,6,13,3,4,6,1
n1_m1_sparse_s1730_iterative_fused,1,1,sparse,1730,iterative_fused,1,0.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,30,58,6,6,11,3,4,6,1
